# Name ra dec dist vlos vloserr sigma rmax pmra pmdec pmra_e pmdec_e pmcorr nstar rscale pmdisp pmscale pmscale_e
# units        	deg	deg	kpc	km/s	km/s	km/s	arcmin	mas/yr	mas/yr	mas/yr	mas/yr	dimless	dimless	arcmin	mas/yr
BH_261_AL_3 273.527 -28.635 6.5 -29.4 0.6 4.1 2.0 3.59 -3.573 0.077 0.076 0.037 13.7 0.53 0.11 0.799 0.634
NGC_6584 274.656 -52.215 13.5 260.6 1.6 5.0 6.0 -0.053 -7.185 0.061 0.061 -0.0 392.6 3.57 0.074 0.14 0.002
NGC_6624 275.918 -30.361 7.9 54.3 0.5 6.9 5.0 0.099 -6.904 0.065 0.064 0.002 162.1 1.98 0.156 0.175 0.012
NGC_6626_M_28 276.136 -24.869 5.5 11.1 0.6 11.1 8.0 -0.301 -8.913 0.061 0.061 -0.003 383.0 3.72 0.307 0.281 0.011
NGC_6638 277.733 -25.497 9.4 8.6 2.0 7.7 3.0 -2.55 -4.075 0.066 0.065 0.013 103.0 1.88 0.122 0.111 0.016
NGC_6637_M_69 277.846 -32.348 8.8 46.6 1.4 6.4 5.0 -5.113 -5.813 0.063 0.063 0.011 283.8 2.52 0.129 0.181 0.053
NGC_6642 277.975 -23.475 8.1 -33.2 1.1 4.4 3.0 -0.189 -3.898 0.065 0.065 0.004 93.6 1.8 0.094 0.144 0.024
NGC_6652 278.94 -32.99 10.0 -99.0 0.5 6.0 4.0 -5.506 -4.204 0.064 0.063 0.001 225.2 2.42 0.077 0.151 0.035
NGC_6656_M_22 279.099 -23.904 3.2 -147.8 0.3 8.6 20.0 9.833 -5.557 0.047 0.047 0.008 4178.1 11.84 0.479 0.447 0.016
Pal_8 280.374 -19.825 12.8 -41.1 1.8 2.7 4.0 -2.031 -5.634 0.063 0.063 0.015 174.9 2.41 0.0 0.128 0.001
NGC_6681_M_70 280.803 -32.292 9.0 216.6 0.8 7.0 8.0 1.458 -4.688 0.06 0.06 0.009 686.2 3.96 0.107 0.185 0.008
NGC_6712 283.267 -8.7061 6.9 -107.5 0.3 4.8 5.0 3.341 -4.384 0.062 0.061 0.006 309.7 2.84 0.133 0.15 0.011
NGC_6715_M_54 283.763 -30.479 26.5 143.1 0.6 16.9 6.0 -2.711 -1.355 0.058 0.058 0.009 854.1 7.86 0.1 0.203 0.017
NGC_6717_Pal9 283.775 -22.701 7.1 32.5 1.4 2.3 3.0 -3.106 -4.951 0.065 0.064 0.022 97.4 2.02 0.061 0.12 0.011
NGC_6723 284.888 -36.632 8.7 -94.2 0.3 5.5 10.0 1.033 -2.445 0.057 0.057 0.004 1824.0 5.21 0.15 0.228 0.011
NGC_6749 286.313 1.90083 7.9 -58.4 1.0 3.4 6.0 -2.865 -5.987 0.061 0.061 0.011 395.0 4.33 0.127 0.241 0.01
NGC_6752 287.717 -59.984 4.0 -26.3 0.2 8.3 25.0 -3.17 -4.043 0.042 0.042 0.004 10850.7 12.3 0.27 0.301 0.013
NGC_6760 287.8 1.03047 7.4 -0.4 1.6 7.3 8.0 -1.129 -3.561 0.06 0.059 0.009 572.8 4.23 0.157 0.18 0.005
NGC_6779_M_56 289.148 30.1834 9.4 -137.0 0.5 5.0 8.0 -2.02 1.644 0.059 0.059 0.004 811.8 4.5 0.114 0.167 0.036
Terzan_7 289.433 -34.657 22.8 159.4 0.1 1.3 3.0 -2.999 -1.586 0.068 0.067 0.032 93.6 1.5 0.0 0.158 0.014
Pal_10 289.508 18.5716 5.9 -31.7 0.2 3.7 4.0 -4.25 -6.924 0.064 0.064 0.005 246.5 2.23 0.105 0.268 0.0
Arp_2 292.183 -30.355 28.6 123.0 0.3 1.3 3.0 -2.381 -1.51 0.067 0.066 0.013 137.9 1.9 0.0 0.233 0.042
NGC_6809_M_55 294.998 -30.964 5.4 174.4 0.2 4.9 15.0 -3.42 -9.269 0.05 0.05 0.01 4224.4 8.83 0.185 0.282 0.007
Terzan_8 295.435 -33.999 26.3 148.5 0.2 1.7 5.0 -2.472 -1.556 0.062 0.06 -0.006 251.9 2.67 0.006 0.21 0.035
Pal_11 296.31 -8.0072 13.4 -67.6 0.8 2.4 4.0 -1.821 -4.934 0.066 0.064 0.027 174.6 1.83 0.0 0.204 0.007
NGC_6838_M_71 298.443 18.7791 4.0 -22.3 0.2 2.9 10.0 -3.415 -2.614 0.054 0.054 0.005 2676.4 5.1 0.146 0.194 0.001
NGC_6864_M_75 301.519 -21.921 20.9 -189.1 1.1 11.3 6.0 -0.559 -2.798 0.062 0.061 0.009 224.1 2.79 0.07 0.14 0.023
NGC_6934 308.547 7.40447 15.6 -406.2 0.7 5.5 6.0 -2.636 -4.667 0.06 0.06 0.009 336.5 4.04 0.069 0.112 0.011
NGC_6981_M_72 313.365 -12.537 17.0 -331.4 1.5 3.2 6.0 -1.233 -3.29 0.062 0.061 0.016 350.2 3.0 0.047 0.153 0.01
NGC_7006 315.372 16.1873 41.2 -383.5 0.7 3.6 5.0 -0.102 -0.569 0.067 0.068 -0.013 137.2 1.96 0.0 0.172 0.026
NGC_7078_M_15 322.493 12.167 10.4 -106.8 0.2 13.6 15.0 -0.643 -3.763 0.051 0.051 0.001 2198.4 9.92 0.15 0.227 0.032
NGC_7089_M_2 323.362 -0.8232 11.5 -3.7 0.3 10.7 15.0 3.518 -2.145 0.054 0.054 0.013 1369.4 6.15 0.144 0.208 0.01
NGC_7099_M_30 325.092 -23.179 8.1 -185.2 0.2 5.6 12.0 -0.694 -7.271 0.055 0.054 0.031 1414.1 5.76 0.121 0.237 0.013
Pal_12 326.661 -21.252 19.0 27.9 0.3 0.7 4.0 -3.249 -3.303 0.067 0.067 0.034 99.7 1.48 0.0 0.302 0.016
Pal_13 346.685 12.772 26.0 25.9 0.3 0.5 3.0 1.615 0.142 0.101 0.089 0.016 34.1 0.76 0.0 0.379 0.007
NGC_7492 347.11 -15.611 26.3 -176.7 0.3 1.6 5.0 0.799 -2.273 0.065 0.064 0.009 125.9 1.51 0.0 0.188 0.018
