# Name         	     pericenter[kpc]   	     apocenter[kpc]    	       Jr[kpc*km/s]    	       Jz[kpc*km/s]    	      Jphi[kpc*km/s]   	    Energy[km^2/s^2]   
NGC_6517       	   0.40	   0.47	   0.61	   4.18	   4.45	   4.77	    200	    218	    234	     69	     73	     76	    111	    136	    168	-216740	-212941	-209435
Terzan_10      	   0.78	   0.90	   1.06	   2.41	   2.64	   2.93	     44	     49	     54	     87	     91	     98	    175	    207	    259	-230409	-226620	-221976
NGC_6522       	   0.16	   0.42	   0.63	   1.25	   1.35	   1.52	     10	     13	     21	     99	    103	    108	     16	     53	     90	-254303	-251239	-245831
NGC_6535       	   1.13	   1.25	   1.38	   4.44	   4.56	   4.69	    125	    150	    177	     59	     64	     72	   -369	   -344	   -316	-208107	-207512	-206797
NGC_6528       	   0.16	   0.19	   0.25	   1.64	   1.76	   2.38	     47	     54	     84	     50	     63	     70	     37	     45	     66	-250647	-249101	-242176
NGC_6539       	   1.94	   2.03	   2.13	   3.34	   3.42	   3.52	     15	     17	     19	    206	    225	    251	    333	    338	    347	-208772	-207479	-205361
NGC_6540_Djorg 	   1.42	   1.66	   1.79	   2.69	   3.02	   3.27	     25	     29	     32	     17	     18	     20	    356	    421	    458	-227533	-221648	-218350
NGC_6544       	   0.07	   0.13	   0.23	   5.45	   5.62	   5.77	    325	    356	    373	     58	     63	     68	    -55	    -15	     48	-204181	-202909	-201791
NGC_6541       	   1.26	   1.34	   1.43	   4.23	   4.30	   4.44	     93	    101	    118	    136	    163	    188	    324	    330	    336	-204920	-204020	-202414
ESO-SC06_ESO280	   0.52	   1.37	   2.35	  13.10	  14.61	  15.64	    733	    798	    879	    353	    462	    598	     59	    349	    550	-155056	-149549	-145320
NGC_6553       	   1.87	   2.16	   2.42	   3.12	   3.33	   3.60	     17	     20	     25	      7	      8	     10	    478	    535	    603	-218871	-215210	-210751
NGC_6558       	   0.23	   0.32	   0.43	   1.80	   2.13	   2.51	     50	     68	     86	     60	     76	     97	     39	     77	    117	-244071	-239231	-234376
IC_1276_Pal_7  	   3.41	   3.49	   3.59	   5.96	   6.28	   6.65	     56	     65	     75	     20	     22	     24	    956	    994	   1043	-185894	-183626	-180964
Terzan_12      	   2.05	   2.19	   2.30	   4.11	   4.41	   4.71	     55	     61	     67	     38	     42	     45	    531	    584	    630	-207094	-203436	-200540
NGC_6569       	   1.75	   2.26	   2.94	   2.65	   3.21	   3.92	      9	     10	     12	     87	     90	     92	    351	    482	    646	-220480	-210691	-200081
BH_261_AL_3    	   1.19	   1.48	   1.71	   2.78	   3.00	   3.31	     27	     31	     40	     80	     85	     90	    273	    344	    412	-223336	-218679	-213965
NGC_6584       	   1.28	   1.95	   2.57	  17.67	  21.38	  24.70	   1083	   1271	   1461	    374	    397	    437	    412	    634	    829	-141114	-131541	-124688
NGC_6624       	   0.32	   0.46	   0.52	   1.41	   1.46	   1.56	      7	      9	     16	    140	    151	    156	     24	     31	     46	-247308	-246526	-244538
NGC_6626_M_28  	   0.40	   0.51	   0.62	   2.78	   2.97	   3.22	    106	    112	    120	     57	     65	     70	    109	    145	    185	-229349	-226676	-223670
NGC_6638       	   0.10	   0.14	   0.19	   1.85	   2.13	   2.50	     65	     89	    113	     91	     93	     95	     22	     27	     37	-243461	-239392	-234086
NGC_6637_M_69  	   0.41	   0.76	   1.11	   1.72	   1.79	   1.98	      2	      4	     17	    194	    216	    230	     15	     41	     84	-239627	-236662	-230000
NGC_6642       	   0.06	   0.12	   0.24	   2.08	   2.11	   2.17	     80	     92	    102	     57	     61	     64	    -20	     15	     58	-243515	-242793	-241775
NGC_6652       	   0.29	   0.41	   0.72	   3.26	   3.80	   4.40	     93	    105	    114	    259	    289	    328	     29	     62	    112	-217069	-210190	-203122
NGC_6656_M_22  	   2.91	   3.04	   3.18	  10.07	  10.35	  10.57	    304	    319	    332	    123	    135	    151	    934	    987	   1027	-164571	-163245	-162294
Pal_8          	   1.70	   2.15	   2.72	   4.98	   5.51	   6.00	     85	    102	    115	     77	     79	     83	    475	    603	    753	-201704	-194763	-188533
NGC_6681_M_70  	   0.22	   0.31	   0.49	   5.04	   5.43	   5.87	    206	    258	    305	    312	    329	    344	      6	     30	     62	-197232	-194576	-191945
NGC_6712       	   0.11	   0.31	   0.49	   5.31	   5.47	   5.63	    280	    295	    308	    110	    124	    144	     22	     60	    119	-204243	-203409	-202484
NGC_6715_M_54  	  13.96	  15.25	  16.49	  41.16	  49.00	  56.11	   1025	   1346	   1650	   3894	   4299	   4542	    700	   1036	   1333	 -95420	 -88508	 -83123
NGC_6717_Pal9  	   0.99	   1.04	   1.10	   2.40	   2.49	   2.65	     23	     28	     32	     91	    102	    111	    209	    226	    253	-228457	-227654	-225980
NGC_6723       	   1.37	   1.51	   1.80	   3.61	   3.70	   3.83	     26	     35	     42	    459	    502	    525	    -87	    -19	     46	-206530	-204835	-202688
NGC_6749       	   1.51	   1.64	   1.77	   4.95	   5.07	   5.21	    135	    144	    155	      4	      5	      5	    503	    538	    576	-204346	-202918	-201089
NGC_6752       	   3.44	   3.69	   3.87	   5.53	   5.61	   5.73	     22	     27	     33	    102	    112	    124	    833	    890	    935	-186052	-184592	-183090
NGC_6760       	   2.08	   2.17	   2.28	   5.45	   5.56	   5.63	    109	    120	    133	     11	     12	     13	    663	    686	    709	-196271	-195520	-194679
NGC_6779_M_56  	   0.33	   0.53	   0.75	  11.87	  12.21	  12.62	    815	    845	    877	    151	    178	    214	   -255	   -198	   -121	-161502	-159524	-157670
Terzan_7       	  11.91	  13.14	  14.32	  32.88	  39.55	  47.02	    748	   1019	   1336	   3694	   4061	   4379	    235	    403	    660	-105011	 -97498	 -90475
Pal_10         	   3.95	   4.09	   4.26	   6.96	   7.13	   7.27	     60	     69	     77	      6	      7	      8	   1155	   1189	   1222	-177826	-176529	-175286
Arp_2          	  16.75	  17.96	  19.55	  45.20	  52.57	  63.85	    988	   1253	   1770	   4261	   4565	   4971	   1145	   1458	   1884	 -90511	 -84731	 -77542
NGC_6809_M_55  	   1.08	   1.13	   1.20	   5.89	   6.04	   6.25	    208	    223	    236	    272	    297	    326	    207	    238	    270	-189889	-189063	-187929
